sk8tag,name,lat,lon
sk866tq52s,skatepark,-29.8794944,-71.2183389
sk866tq530,Patinódromo Altos del Llano,-29.8760787,-71.2231683
sk866vmyd3,Skatepark Freirina,-28.5071564,-71.0790913
sk866vq59u,Skatepark Huasco,-28.4659857,-71.2072011
sk866zfpg0,skatepark,-29.1623286,-67.5097181
sk867jtg9y,Skatepark Bahía,-27.1039915,-70.8526042
sk867jupw1,Skate Park Palomar,-27.3881279,-70.332986
sk867jurb2,Skate Park Parque Schnaider,-27.3763862,-70.3225015
sk867jwh0p,Skatepark Caldera,-27.0702239,-70.8289232
sk867n59pu,skatepark,-27.4668884,-70.2630563
sk867q6xqr,Skatepark El Salvador,-26.2447613,-69.6323326
sk867vcmdp,Skatepark,-23.6743929,-70.4126049
sk867vcmzt,skatepark,-23.6450393,-70.4040625
sk867vcw5e,skatepark,-23.6228548,-70.3954738
sk867vcw7j,skatepark,-23.6255003,-70.3814458
sk867vcwpj,Parque Los Pinares,-23.6032467,-70.3926317
sk867vcy6y,skatepark,-23.5827433,-70.3807763
sk867vcyhm,Skateboard,-23.5744548,-70.3930372
sk867vusfr,SkatePark,-23.1027178,-70.4443515
sk8683u873,Skate Park,-42.7842382,-65.0264779
sk8683u8ns,skatepark,-42.7669062,-65.0323817
sk8689xyg1,Skate Park,-40.8074687,-65.0914623
sk868cb61t,Skate Park,-40.7277191,-64.9438384
sk868cr7h4,Skate Park,-39.4845098,-65.6070437
sk868epybd,Skate Park,-40.8215034,-62.9806301
sk868epyg8,Skate Park,-40.8051717,-62.9835376
sk8695eygp,skatepark,-38.6990666,-62.2716312
sk8695fg5y,skatepark,-38.8697046,-62.085919
sk8696r8s6,skatepark,-36.6268784,-64.3110985
sk8697d5g1,Half Pipe,-37.5998703,-62.4114472
sk8697fyzj,Skate Park,-37.4458753,-61.92297
sk8697nzmn,Skate Park,-36.7537162,-62.953329
sk869dtjk4,Skate Park,-35.6614752,-63.7503176
sk869e7kk5,skatepark,-35.9684482,-62.7387444
sk869gfpez,skatepark,-34.782863,-61.8873239
sk869gzvyk,skatepark,-33.7594349,-61.9673461
sk869h7tmu,Skate Park,-38.7274417,-61.2862876
sk869jjs0d,Skate Park,-38.4043951,-60.2894664
sk869jjss2,Pista de Skate,-38.3840331,-60.2705203
sk869kf2mf,skatepark,-37.5409774,-60.8056471
sk869kpg1t,Skate Park,-36.5969239,-61.7360942
sk869mgwrb,Skate Park,-37.3101992,-59.1387558
sk869mn4vr,Skate Park,-36.8846326,-60.3375484
sk869mn55g,skatepark,-36.8930615,-60.3320713
sk869mnms1,Skate Park,-36.8476876,-60.2244805
sk869mqvdk,Skate Park de Azul,-36.7691947,-59.8687989
sk869pnb14,Paradise Skate Park,-38.182125,-57.652211
sk869pp9z4,skatepark,-38.0175962,-57.5763119
sk869ppf3d,Pista de skate de Plaza Mitre,-38.0032953,-57.5533986
sk869ppf9g,Pista de Skate,-38.0027684,-57.5416772
sk869ppfs0,skatepark,-37.9906328,-57.545826
sk869q8d7w,Skate Park,-37.8609181,-58.2517805
sk869qgvm8,skatepark,-37.2793292,-57.7763769
sk869r0g2j,skate park,-37.8359966,-57.5059012
sk869rscgz,skatepark,-37.1128128,-56.8663192
sk869rsfj2,skatepark,-37.1045241,-56.8644208
sk869rxnpq,skatepark,-36.6973129,-56.6809126
sk869s9ck3,Skate Park,-36.2309789,-61.1152328
sk869t744t,skatepark,-36.0206047,-60.0222569
sk869tgp66,Skate Park,-36.0215195,-59.0924527
sk869tmr86,skatepark,-35.6369374,-59.7846982
sk869tnqvx,Rampas de Skate,-35.4334513,-60.1617585
sk869tzz43,Skate Park municipal Oscar Arevalo,-35.1871489,-59.1050529
sk869u1xqy,skatepark,-34.8550779,-61.5476187
sk869uekbp,Skate Park,-34.5845105,-60.9523635
sk869ujxbn,Pista de Patinaje sobre Ruedas,-34.188823,-61.5260536
sk869uzjee,Pista de Skate,-33.9061997,-60.5733013
sk869uzjue,skatepark,-33.8999841,-60.5625671
sk869vbghe,skatepark,-34.9995759,-59.2778252
sk869vgqy1,Luján Park,-34.551446,-59.1149535
sk869vq0rj,Skate Park,-34.0622138,-60.098698
sk869wnq5b,Skate Park,-35.4424042,-58.7975799
sk869x8mtt,skatepark,-36.4879442,-56.7043914
sk869x8n5b,Pista skate,-36.5409224,-56.6885532
sk869x9jjh,skatepark,-36.3582355,-56.727811
sk869y162r,Pista,-34.9345962,-58.9531839
sk869y3s51,skatepark,-34.875524,-58.5327586
sk869y3s5g,Playón,-34.8713069,-58.5301713
sk869y3sqb,Skate Park Ezeiza,-34.8542862,-58.5236578
sk869y3zkb,skatepark,-34.8224387,-58.3912619
sk869y4j5g,skatepark,-34.7838024,-58.8377191
sk869y54jk,skatepark,-34.5997548,-58.9677619
sk869y5h5m,skatepark,-34.6098041,-58.8794994
sk869y5z4z,Rampa de Skate del tanque de Tierras Altas,-34.481599,-58.7445864
sk869y5zce,Bowl Skatepark,-34.4884636,-58.7173234
sk869y66tr,skatepark,-34.730603,-58.5908658
sk869y68mz,Skate-Bike,-34.6846142,-58.6894042
sk869y6dp8,Playón para patinar,-34.6743903,-58.6221391
sk869y6exd,skatepark,-34.6754181,-58.5542609
sk869y6uf2,Skatepark Mataderos,-34.6600312,-58.5015262
sk869y6y89,skatepark,-34.6694347,-58.4229187
sk869y6yf9,skatepark,-34.6579217,-58.4122445
sk869y6zb1,Skate-Park Mauro Sabino,-34.6727305,-58.3680088
sk869y6zb2,skatepark,-34.6709465,-58.3693934
sk869y6zpv,skatepark,-34.6290492,-58.3962115
